 Spectral energy distribution at the surface of the nebula: 
   viewPoints = 
    nu [Ryd]        lambda [um]         F(nu)*D^2            
                                        [Jy * pc^2]              
   1.00099996E-05   9103.57422       0.00000000    
   1.03430684E-05   8810.41992       0.00000000    
   1.06872230E-05   8526.70313       0.00000000    
   1.10428282E-05   8252.12305       1864683.00    
   1.14102668E-05   7986.38428       0.00000000    
   1.17899308E-05   7729.20361       1746520.88    
   1.21822286E-05   7480.30420       0.00000000    
   1.25875795E-05   7239.42041       0.00000000    
   1.30064172E-05   7006.29346       1583169.75    
   1.34391921E-05   6780.67334       1532188.38    
   1.38863661E-05   6562.31982       1482848.13    
   1.43484203E-05   6350.99707       1435095.75    
   1.48258487E-05   6146.47998       0.00000000    
   1.53191631E-05   5948.54834       0.00000000    
   1.58288913E-05   5756.99023       0.00000000    
   1.63555796E-05   5571.60205       0.00000000    
   1.68997940E-05   5392.18262       0.00000000    
   1.74621164E-05   5218.54150       0.00000000    
   1.80431507E-05   5050.49121       0.00000000    
   1.86435173E-05   4887.85303       1104478.75    
   1.92638599E-05   4730.45264       0.00000000    
   1.99048445E-05   4578.12012       0.00000000    
   2.05671568E-05   4430.69385       1001177.69    
   2.12515060E-05   4288.01514       968937.063    
   2.19586273E-05   4149.93018       0.00000000    
   2.26892771E-05   4016.29248       0.00000000    
   2.34442377E-05   3886.95801       1756624.50    
   2.42243204E-05   3761.78882       0.00000000    
   2.50303583E-05   3640.64990       822655.438    
   2.58632172E-05   3523.41211       796164.438    
   2.67237865E-05   3409.95020       770526.125    
   2.76129922E-05   3300.14136       0.00000000    
   2.85317856E-05   3193.86865       721699.313    
   2.94811489E-05   3091.01831       0.00000000    
   3.04621026E-05   2991.48022       0.00000000    
   3.14756981E-05   2895.14722       0.00000000    
   3.25230176E-05   2801.91626       0.00000000    
   3.36051853E-05   2711.68799       612743.875    
   3.47233618E-05   2624.36499       593012.000    
   3.58787438E-05   2539.85400       1721748.00    
   3.70725684E-05   2458.06494       0.00000000    
   3.83061197E-05   2378.90918       537547.313    
   3.95807147E-05   2302.30249       0.00000000    
   4.08977212E-05   2228.16284       0.00000000    
   4.22585508E-05   2156.41016       974542.500    
   4.36646551E-05   2086.96875       471580.000    
   4.51175511E-05   2019.76331       456393.563    
   4.66187885E-05   1954.72205       0.00000000    
   4.81699790E-05   1891.77527       0.00000000    
   4.97727815E-05   1830.85559       413707.156    
   5.14289204E-05   1771.89758       400384.844    
   5.31401602E-05   1714.83813       774983.750    
   5.49083416E-05   1659.61621       375013.563    
   5.67353563E-05   1606.17261       725874.188    
   5.86231654E-05   1554.44995       0.00000000    
   6.05737878E-05   1504.39294       339938.594    
   6.25893153E-05   1455.94775       328991.875    
   6.46719054E-05   1409.06274       636794.250    
   6.68237990E-05   1363.68738       308143.875    
   6.90472880E-05   1319.77344       298221.469    
   7.13447589E-05   1277.27356       865853.938    
   7.37186783E-05   1236.14233       1117293.38    
   7.61715928E-05   1196.33545       1081315.00    
   7.87061144E-05   1157.81067       523247.156    
   8.13249790E-05   1120.52625       1012793.50    
   8.40309804E-05   1084.44263       980179.563    
   8.68270217E-05   1049.52087       1185770.00    
   8.97160935E-05   1015.72382       229517.016    
   9.27013025E-05   983.015015       1110628.38    
   9.57858429E-05   951.359558       429945.813    
   9.89730106E-05   920.723511       208050.359    
   1.02266233E-04   891.073914       201350.563    
   1.05669031E-04   862.379211       0.00000000    
   1.09185050E-04   834.608521       565774.438    
   1.12818067E-04   807.732117       1277628.13    
   1.16571966E-04   781.721191       706563.313    
   1.20450772E-04   756.547913       512857.406    
   1.24458646E-04   732.185181       661789.500    
   1.28599873E-04   708.606995       800598.375    
   1.32878893E-04   685.788147       309927.125    
   1.37300289E-04   663.704224       899838.750    
   1.41868819E-04   642.331238       290287.313    
   1.46589344E-04   621.646667       421409.031    
   1.51466957E-04   601.628113       815677.000    
   1.56506852E-04   582.254211       394705.688    
   1.61714444E-04   563.504211       636658.250    
   1.67095321E-04   545.358032       246462.313    
   1.72655244E-04   527.796204       357788.375    
   1.78400165E-04   510.799835       230844.875    
   1.84336226E-04   494.350861       558527.875    
   1.90469815E-04   478.431580       324324.844    
   1.96807494E-04   463.024933       104626.859    
   2.03356060E-04   448.114349       202515.313    
   2.10122511E-04   433.683990       391987.906    
   2.17114110E-04   419.718323       569047.188    
   2.24338350E-04   406.202423       367148.563    
   2.31802958E-04   393.121704       621819.563    
   2.39515954E-04   380.462219       343883.031    
   2.47485586E-04   368.210419       166404.641    
   2.55720399E-04   356.353149       402614.813    
   2.64229224E-04   344.877716       311719.594    
   2.73021171E-04   333.771820       226260.969    
   2.82105670E-04   323.023560       364958.500    
   2.91492412E-04   312.621429       423847.063    
   3.01191525E-04   302.554230       341831.563    
   3.11213342E-04   292.811249       529318.563    
   3.21568630E-04   283.382050       512273.063    
   3.32268479E-04   274.256439       185916.219    
   3.43324355E-04   265.424744       119952.836    
   3.54748103E-04   256.877441       348270.000    
   3.66551976E-04   248.605316       280879.313    
   3.78748577E-04   240.599640       543668.875    
   3.91351030E-04   232.851761       526161.000    
   4.04372811E-04   225.353378       254608.594    
   4.17827890E-04   218.096436       492818.906    
   4.31730674E-04   211.073196       286169.625    
   4.46096034E-04   204.276123       415431.625    
   4.60939395E-04   197.697952       580743.625    
   4.76276677E-04   191.331604       216170.297    
   4.92124236E-04   185.170273       418418.219    
   5.08499157E-04   179.207321       283460.750    
   5.25418902E-04   173.436417       391903.500    
   5.42901689E-04   167.851334       417211.531    
   5.60966146E-04   162.446106       550604.250    
   5.79631713E-04   157.214966       71049.8516    
   5.98918297E-04   152.152267       515714.000    
   6.18846680E-04   147.252579       266190.281    
   6.39438105E-04   142.510696       322022.781    
   6.60714752E-04   137.921509       716800.938    
   6.82699319E-04   133.480103       392102.219    
   7.05415383E-04   129.181717       321094.563    
   7.28887331E-04   125.021759       282503.781    
   7.53140310E-04   120.995743       464791.250    
   7.78200221E-04   117.099396       343983.125    
   8.04094016E-04   113.328499       435338.719    
   8.30849342E-04   109.679062       446103.500    
   8.58494954E-04   106.147125       479708.125    
   8.87060480E-04   102.728928       394621.188    
   9.16576479E-04   99.4208069       516706.750    
   9.47074557E-04   96.2192230       456583.688    
   9.78587428E-04   93.1207275       526047.875    
   1.01114891E-03   90.1220093       244371.922    
   1.04479375E-03   87.2198715       453296.594    
   1.07955816E-03   84.4111786       438699.188    
   1.11547927E-03   81.6929321       479951.250    
   1.15259562E-03   79.0622253       339438.938    
   1.19094702E-03   76.5162277       570567.063    
   1.23057445E-03   74.0522232       451794.656    
   1.27152051E-03   71.6675644       469633.344    
   1.31382910E-03   69.3596878       454510.594    
   1.35754526E-03   67.1261444       455042.719    
   1.40271615E-03   64.9645157       455068.188    
   1.44939008E-03   62.8724976       468828.344    
   1.49761687E-03   60.8478546       494979.563    
   1.54744845E-03   58.8884048       345973.000    
   1.59893814E-03   56.9920578       412100.594    
   1.65214110E-03   55.1567726       411293.531    
   1.70711428E-03   53.3805962       578980.188    
   1.76391669E-03   51.6616096       396903.938    
   1.82260922E-03   49.9979782       338932.063    
   1.88325450E-03   48.3879204       426422.938    
   1.94591784E-03   46.8297119       444436.719    
   2.01066607E-03   45.3216858       460848.281    
   2.07756879E-03   43.8622169       455918.938    
   2.14669760E-03   42.4497490       354907.813    
   2.21812679E-03   41.0827637       427027.313    
   2.29193270E-03   39.7597961       422261.344    
   2.36819405E-03   38.4794388       434748.531    
   2.44699325E-03   37.2403030       471237.594    
   2.52841436E-03   36.0410767       399054.813    
   2.61254469E-03   34.8804665       504430.031    
   2.69947434E-03   33.7572289       396651.969    
   2.78929621E-03   32.6701660       465083.688    
   2.88210716E-03   31.6181107       485829.125    
   2.97800614E-03   30.5999298       407954.313    
   3.07709607E-03   29.6145344       421584.406    
   3.17948312E-03   28.6608791       505153.250    
   3.28527694E-03   27.7379265       432475.875    
   3.39459116E-03   26.8446980       394285.438    
   3.50754242E-03   25.9802322       422683.031    
   3.62425204E-03   25.1436100       460205.063    
   3.74484528E-03   24.3339214       478376.875    
   3.86945088E-03   23.5503120       468293.719    
   3.99820274E-03   22.7919331       427462.969    
   4.13123844E-03   22.0579796       428650.188    
   4.26870119E-03   21.3476601       414846.313    
   4.41073766E-03   20.6602116       429498.500    
   4.55750013E-03   19.9949017       465367.281    
   4.70914599E-03   19.3510189       406654.750    
   4.86583775E-03   18.7278690       452804.781    
   5.02774352E-03   18.1247864       511943.656    
   5.19503606E-03   17.5411243       463748.375    
   5.36789559E-03   16.9762573       398946.031    
   5.54650649E-03   16.4295807       426937.156    
   5.73106017E-03   15.9005089       503012.500    
   5.92175499E-03   15.3884745       486814.000    
   6.11879490E-03   14.8929291       424023.438    
   6.32239133E-03   14.4133387       501561.844    
   6.53276220E-03   13.9491959       403101.594    
   6.59999996E-03   13.8070879       452784.188    
   6.75013289E-03   13.4999971       444921.625    
   6.89999992E-03   13.2067795       420195.344    
   6.97473623E-03   13.0652647       440427.438    
   7.19999988E-03   12.6564970       406664.063    
   7.20681297E-03   12.6445313       508437.438    
   7.44661223E-03   12.2373466       456257.906    
   7.69439014E-03   11.8432741       449593.656    
   7.95041304E-03   11.4618921       392638.406    
   7.99999945E-03   11.3908472       407723.719    
   8.21495429E-03   11.0927916       17976.6074    
   8.29999987E-03   10.9791288       14797.3037    
   8.48829746E-03   10.7355776       480874.125    
   8.60000029E-03   10.5961361       400980.625    
   8.77073687E-03   10.3898659       440115.281    
   9.06257331E-03   10.0552874       479420.469    
   9.36412066E-03   9.73148251       393614.563    
   9.67570208E-03   9.41810417       433521.750    
   9.69999935E-03   9.39451313       498344.625    
   9.99765098E-03   9.11481857       40447.3672    
   9.99999978E-03   9.11267757       428086.813    
   1.03000002E-02   8.84725952       400006.750    
   1.03303147E-02   8.82129669       472187.656    
   1.06740473E-02   8.53722763       476485.688    
   1.10292174E-02   8.26230621       423801.344    
   1.13962069E-02   7.99623728       422801.844    
   1.17754061E-02   7.73873758       361740.500    
   1.19999992E-02   7.59389830       454214.156    
   1.21672228E-02   7.48952961       53929.8164    
   1.22999996E-02   7.40868092       426265.250    
   1.25720780E-02   7.24834633       355037.813    
   1.26000000E-02   7.23228359       422207.719    
   1.29904039E-02   7.01493025       426116.375    
   1.34226494E-02   6.78903008       446412.156    
   1.38692781E-02   6.57040501       386012.031    
   1.43307671E-02   6.35882044       423871.625    
   1.48076117E-02   6.15404987       414532.094    
   1.52999992E-02   5.95599890       456975.969    
   1.53003233E-02   5.95587254       422450.094    
   1.55999996E-02   5.84146023       394591.063    
   1.58094298E-02   5.76407719       440428.125    
   1.58999991E-02   5.73124409       358817.688    
   1.63354762E-02   5.57845879       392482.219    
   1.68790258E-02   5.39881754       361098.813    
   1.74406618E-02   5.22496080       387251.063    
   1.80209856E-02   5.05670309       359926.469    
   1.86206196E-02   4.89386368       396992.125    
   1.92402061E-02   4.73626852       385277.531    
   1.98804103E-02   4.58374739       387321.438    
   2.01000012E-02   4.53366995       381439.688    
   2.04000007E-02   4.46699858       30509.3672    
   2.05419138E-02   4.43613863       399980.531    
   2.07000002E-02   4.40225983       378723.313    
   2.12254301E-02   4.29328251       397351.813    
   2.19316892E-02   4.15502739       421557.000    
   2.26614475E-02   4.02122498       385265.063    
   2.34154910E-02   3.89173055       384290.281    
   2.41946224E-02   3.76640582       430639.406    
   2.49996781E-02   3.64511800       358291.250    
   2.58315243E-02   3.52773499       364290.156    
   2.66910475E-02   3.41413283       350703.063    
   2.74999999E-02   3.31370068       338533.750    
   2.75791697E-02   3.30418849       395486.344    
   2.77999993E-02   3.27794147       393475.906    
   2.80999988E-02   3.24294591       377282.531    
   2.84968466E-02   3.19778442       383908.563    
   2.94450559E-02   3.09480739       393711.188    
   3.04248165E-02   2.99514627       381709.469    
   3.14371772E-02   2.89869475       391032.375    
   3.24832238E-02   2.80534887       385412.438    
   3.35640796E-02   2.71500874       390179.156    
   3.46808955E-02   2.62757850       347928.000    
   3.58348750E-02   2.54296350       361431.344    
   3.70272547E-02   2.46107292       337558.219    
   3.82593051E-02   2.38181973       356827.188    
   3.95323560E-02   2.30511880       316311.469    
   3.96999978E-02   2.29538488       415162.125    
   3.99999991E-02   2.27816939       433684.406    
   4.03000005E-02   2.26121020       413492.625    
   4.08477634E-02   2.23088765       412193.844    
   4.22069393E-02   2.15904713       389314.813    
   4.36113402E-02   2.08951998       398968.531    
   4.50624749E-02   2.02223182       400743.406    
   4.65618894E-02   1.95711076       380762.563    
   4.81112003E-02   1.89408648       377916.063    
   4.97120656E-02   1.83309162       371959.469    
   5.13661951E-02   1.77406120       354770.563    
   5.30753620E-02   1.71693170       352269.125    
   5.48414029E-02   1.66164184       341675.906    
   5.66662066E-02   1.60813260       333216.375    
   5.85517325E-02   1.55634642       327761.219    
   6.04999922E-02   1.50622785       319298.406    
   6.21999986E-02   1.46506059       325600.469    
   6.25000000E-02   1.45802844       30144.3516    
   6.25130832E-02   1.45772326       489867.094    
   6.27999976E-02   1.45106339       482888.406    
   6.45931587E-02   1.41078055       423374.250    
   6.67424425E-02   1.36534977       435626.625    
   6.89632446E-02   1.32138169       418313.594    
   7.12579414E-02   1.27882969       399352.563    
   7.36289918E-02   1.23764801       401034.844    
   7.60789365E-02   1.19779241       391909.188    
   7.86104053E-02   1.15922022       381646.250    
   8.12261030E-02   1.12189019       382284.875    
   8.39288384E-02   1.08576238       361632.344    
   8.67215097E-02   1.05079782       348800.063    
