  Optical depth from the centre to the edge of the nubula 
  direction: 1,0,0
  lambda [um]    tau(R_max) 
   9103.57422       1.87365729E-02
   8810.41992       0.00000000    
   8526.70313       0.00000000    
   8252.12305       0.00000000    
   7986.38428       0.00000000    
   7729.20361       0.00000000    
   7480.30420       0.00000000    
   7239.42041       0.00000000    
   7006.29346       0.00000000    
   6780.67334       0.00000000    
   6562.31982       0.00000000    
   6350.99707       0.00000000    
   6146.47998       0.00000000    
   5948.54834       0.00000000    
   5756.99023       0.00000000    
   5571.60205       0.00000000    
   5392.18262       0.00000000    
   5218.54150       0.00000000    
   5050.49121       0.00000000    
   4887.85303       0.00000000    
   4730.45264       0.00000000    
   4578.12012       0.00000000    
   4430.69385       0.00000000    
   4288.01514       0.00000000    
   4149.93018       0.00000000    
   4016.29248       0.00000000    
   3886.95801       0.00000000    
   3761.78882       0.00000000    
   3640.64990       0.00000000    
   3523.41211       0.00000000    
   3409.95020       0.00000000    
   3300.14136       0.00000000    
   3193.86865       0.00000000    
   3091.01831       0.00000000    
   2991.48022       0.00000000    
   2895.14722       0.00000000    
   2801.91626       0.00000000    
   2711.68799       0.00000000    
   2624.36499       0.00000000    
   2539.85400       0.00000000    
   2458.06494       0.00000000    
   2378.90918       0.00000000    
   2302.30249       0.00000000    
   2228.16284       0.00000000    
   2156.41016       0.00000000    
   2086.96875       0.00000000    
   2019.76331       0.00000000    
   1954.72205       0.00000000    
   1891.77527       0.00000000    
   1830.85559       0.00000000    
   1771.89758       0.00000000    
   1714.83813       0.00000000    
   1659.61621       0.00000000    
   1606.17261       0.00000000    
   1554.44995       0.00000000    
   1504.39294       0.00000000    
   1455.94775       0.00000000    
   1409.06274       0.00000000    
   1363.68738       0.00000000    
   1319.77344       0.00000000    
   1277.27356       0.00000000    
   1236.14233       0.00000000    
   1196.33545       0.00000000    
   1157.81067       0.00000000    
   1120.52625       0.00000000    
   1084.44263       0.00000000    
   1049.52087       0.00000000    
   1015.72382       0.00000000    
   983.015015       0.00000000    
   951.359558       0.00000000    
   920.723511       0.00000000    
   891.073914       0.00000000    
   862.379211       0.00000000    
   834.608521       0.00000000    
   807.732117       0.00000000    
   781.721191       0.00000000    
   756.547913       0.00000000    
   732.185181       0.00000000    
   708.606995       0.00000000    
   685.788147       0.00000000    
   663.704224       0.00000000    
   642.331238       0.00000000    
   621.646667       0.00000000    
   601.628113       0.00000000    
   582.254211       0.00000000    
   563.504211       0.00000000    
   545.358032       0.00000000    
   527.796204       0.00000000    
   510.799835       0.00000000    
   494.350861       0.00000000    
   478.431580       0.00000000    
   463.024933       0.00000000    
   448.114349       0.00000000    
   433.683990       0.00000000    
   419.718323       0.00000000    
   406.202423       0.00000000    
   393.121704       0.00000000    
   380.462219       0.00000000    
   368.210419       0.00000000    
   356.353149       0.00000000    
   344.877716       0.00000000    
   333.771820       0.00000000    
   323.023560       0.00000000    
   312.621429       0.00000000    
   302.554230       0.00000000    
   292.811249       0.00000000    
   283.382050       0.00000000    
   274.256439       0.00000000    
   265.424744       0.00000000    
   256.877441       0.00000000    
   248.605316       0.00000000    
   240.599640       0.00000000    
   232.851761       0.00000000    
   225.353378       0.00000000    
   218.096436       0.00000000    
   211.073196       0.00000000    
   204.276123       0.00000000    
   197.697952       0.00000000    
   191.331604       0.00000000    
   185.170273       0.00000000    
   179.207321       0.00000000    
   173.436417       0.00000000    
   167.851334       0.00000000    
   162.446106       0.00000000    
   157.214966       0.00000000    
   152.152267       0.00000000    
   147.252579       0.00000000    
   142.510696       0.00000000    
   137.921509       0.00000000    
   133.480103       0.00000000    
   129.181717       0.00000000    
   125.021759       0.00000000    
   120.995743       0.00000000    
   117.099396       0.00000000    
   113.328499       0.00000000    
   109.679062       0.00000000    
   106.147125       0.00000000    
   102.728928       0.00000000    
   99.4208069       0.00000000    
   96.2192230       0.00000000    
   93.1207275       0.00000000    
   90.1220093       0.00000000    
   87.2198715       0.00000000    
   84.4111786       0.00000000    
   81.6929321       0.00000000    
   79.0622253       0.00000000    
   76.5162277       0.00000000    
   74.0522232       0.00000000    
   71.6675644       0.00000000    
   69.3596878       0.00000000    
   67.1261444       0.00000000    
   64.9645157       0.00000000    
   62.8724976       0.00000000    
   60.8478546       0.00000000    
   58.8884048       0.00000000    
   56.9920578       0.00000000    
   55.1567726       0.00000000    
   53.3805962       0.00000000    
   51.6616096       0.00000000    
   49.9979782       0.00000000    
   48.3879204       0.00000000    
   46.8297119       0.00000000    
   45.3216858       0.00000000    
   43.8622169       0.00000000    
   42.4497490       0.00000000    
   41.0827637       0.00000000    
   39.7597961       0.00000000    
   38.4794388       0.00000000    
   37.2403030       0.00000000    
   36.0410767       0.00000000    
   34.8804665       0.00000000    
   33.7572289       0.00000000    
   32.6701660       0.00000000    
   31.6181107       0.00000000    
   30.5999298       0.00000000    
   29.6145344       0.00000000    
   28.6608791       0.00000000    
   27.7379265       0.00000000    
   26.8446980       0.00000000    
   25.9802322       0.00000000    
   25.1436100       0.00000000    
   24.3339214       0.00000000    
   23.5503120       0.00000000    
   22.7919331       0.00000000    
   22.0579796       0.00000000    
   21.3476601       0.00000000    
   20.6602116       0.00000000    
   19.9949017       0.00000000    
   19.3510189       0.00000000    
   18.7278690       0.00000000    
   18.1247864       0.00000000    
   17.5411243       0.00000000    
   16.9762573       0.00000000    
   16.4295807       0.00000000    
   15.9005089       0.00000000    
   15.3884745       0.00000000    
   14.8929291       0.00000000    
   14.4133387       0.00000000    
   13.9491959       0.00000000    
   13.8070879       0.00000000    
   13.4999971       0.00000000    
   13.2067795       0.00000000    
   13.0652647       0.00000000    
   12.6564970       0.00000000    
   12.6445313       0.00000000    
   12.2373466       0.00000000    
   11.8432741       0.00000000    
   11.4618921       0.00000000    
   11.3908472       0.00000000    
   11.0927916       0.00000000    
   10.9791288       0.00000000    
   10.7355776       0.00000000    
   10.5961361       0.00000000    
   10.3898659       0.00000000    
   10.0552874       0.00000000    
   9.73148251       0.00000000    
   9.41810417       0.00000000    
   9.39451313       0.00000000    
   9.11481857       0.00000000    
   9.11267757       0.00000000    
   8.84725952       0.00000000    
   8.82129669       0.00000000    
   8.53722763       0.00000000    
   8.26230621       0.00000000    
   7.99623728       0.00000000    
   7.73873758       0.00000000    
   7.59389830       0.00000000    
   7.48952961       0.00000000    
   7.40868092       0.00000000    
   7.24834633       0.00000000    
   7.23228359       0.00000000    
   7.01493025       0.00000000    
   6.78903008       0.00000000    
   6.57040501       0.00000000    
   6.35882044       0.00000000    
   6.15404987       0.00000000    
   5.95599890       0.00000000    
   5.95587254       0.00000000    
   5.84146023       0.00000000    
   5.76407719       0.00000000    
   5.73124409       0.00000000    
   5.57845879       0.00000000    
   5.39881754       0.00000000    
   5.22496080       0.00000000    
   5.05670309       0.00000000    
   4.89386368       0.00000000    
   4.73626852       0.00000000    
   4.58374739       0.00000000    
   4.53366995       0.00000000    
   4.46699858       0.00000000    
   4.43613863       0.00000000    
   4.40225983       0.00000000    
   4.29328251       0.00000000    
   4.15502739       0.00000000    
   4.02122498       0.00000000    
   3.89173055       0.00000000    
   3.76640582       0.00000000    
   3.64511800       0.00000000    
   3.52773499       0.00000000    
   3.41413283       0.00000000    
   3.31370068       0.00000000    
   3.30418849       0.00000000    
   3.27794147       0.00000000    
   3.24294591       0.00000000    
   3.19778442       0.00000000    
   3.09480739       0.00000000    
   2.99514627       0.00000000    
   2.89869475       0.00000000    
   2.80534887       0.00000000    
   2.71500874       0.00000000    
   2.62757850       0.00000000    
   2.54296350       0.00000000    
   2.46107292       0.00000000    
   2.38181973       0.00000000    
   2.30511880       0.00000000    
   2.29538488       0.00000000    
   2.27816939       0.00000000    
   2.26121020       0.00000000    
   2.23088765       0.00000000    
   2.15904713       0.00000000    
   2.08951998       0.00000000    
   2.02223182       0.00000000    
   1.95711076       0.00000000    
   1.89408648       0.00000000    
   1.83309162       0.00000000    
   1.77406120       0.00000000    
   1.71693170       0.00000000    
   1.66164184       0.00000000    
   1.60813260       0.00000000    
   1.55634642       0.00000000    
   1.50622785       0.00000000    
   1.46506059       0.00000000    
   1.45802844       0.00000000    
   1.45772326       0.00000000    
   1.45106339       0.00000000    
   1.41078055       0.00000000    
   1.36534977       0.00000000    
   1.32138169       0.00000000    
   1.27882969       0.00000000    
   1.23764801       0.00000000    
   1.19779241       0.00000000    
   1.15922022       0.00000000    
   1.12189019       0.00000000    
   1.08576238       0.00000000    
   1.05079782       0.00000000    
   1.01695931       0.00000000    
  0.984210551       0.00000000    
  0.952516377       0.00000000    
  0.921842754       0.00000000    
  0.892157018       0.00000000    
  0.863427341       0.00000000    
  0.835622787       0.00000000    
  0.821924567       0.00000000    
  0.819706500       0.00000000    
  0.817500412       0.00000000    
  0.808713615       0.00000000    
  0.786932409       0.00000000    
  0.784898996       0.00000000    
  0.782876074       0.00000000    
  0.782670975       0.00000000    
  0.757466912       0.00000000    
  0.745840371       0.00000000    
  0.744013548       0.00000000    
  0.742195606       0.00000000    
  0.733074546       0.00000000    
  0.709467709       0.00000000    
  0.686620891       0.00000000    
  0.665061891       0.00000000    
  0.664510012       0.00000000    
  0.663608909       0.00000000    
