 Spectral energy distribution at the surface of the nebula: 
   viewPoints = 
    nu [Ryd]        lambda [um]         F(nu)*D^2            
                                        [Jy * pc^2]              
   1.00099996E-05   9103.57422       0.00000000    
   1.03387874E-05   8814.06836       0.00000000    
   1.06783791E-05   8533.76465       249322.891    
   1.10291239E-05   8262.37695       0.00000000    
   1.13913902E-05   7999.61816       0.00000000    
   1.17655554E-05   7745.21631       0.00000000    
   1.21520106E-05   7498.90527       0.00000000    
   1.25511588E-05   7260.42725       0.00000000    
   1.29634182E-05   7029.53271       0.00000000    
   1.33892190E-05   6805.98145       0.00000000    
   1.38290052E-05   6589.53955       0.00000000    
   1.42832369E-05   6379.98047       0.00000000    
   1.47523888E-05   6177.08594       0.00000000    
   1.52369503E-05   5980.64404       0.00000000    
   1.57374270E-05   5790.44922       0.00000000    
   1.62543438E-05   5606.30273       0.00000000    
   1.67882390E-05   5428.01270       0.00000000    
   1.73396711E-05   5255.39209       0.00000000    
   1.79092149E-05   5088.26172       0.00000000    
   1.84974670E-05   4926.44629       0.00000000    
   1.91050403E-05   4769.77637       0.00000000    
   1.97325699E-05   4618.08936       0.00000000    
   2.03807122E-05   4471.22607       0.00000000    
   2.10501439E-05   4329.03320       0.00000000    
   2.17415636E-05   4191.36230       0.00000000    
   2.24556934E-05   4058.06982       0.00000000    
   2.31932790E-05   3929.01636       0.00000000    
   2.39550936E-05   3804.06665       0.00000000    
   2.47419302E-05   3683.09082       215210.781    
   2.55546111E-05   3565.96216       0.00000000    
   2.63939855E-05   3452.55835       100870.148    
   2.72609304E-05   3342.76099       97662.2813    
   2.81563516E-05   3236.45532       0.00000000    
   2.90811840E-05   3133.53052       0.00000000    
   3.00363936E-05   3033.87866       0.00000000    
   3.10229771E-05   2937.39624       0.00000000    
   3.20419676E-05   2843.98193       0.00000000    
   3.30944276E-05   2753.53833       0.00000000    
   3.41814593E-05   2665.97095       0.00000000    
   3.53041942E-05   2581.18823       0.00000000    
   3.64638072E-05   2499.10205       0.00000000    
   3.76615062E-05   2419.62646       0.00000000    
   3.88985500E-05   2342.67798       0.00000000    
   4.01762227E-05   2268.17676       66267.2109    
   4.14958631E-05   2196.04492       64159.7461    
   4.28588501E-05   2126.20679       62119.4102    
   4.42666023E-05   2058.58984       0.00000000    
   4.57205970E-05   1993.12305       0.00000000    
   4.72223510E-05   1929.73816       56379.2891    
   4.87734324E-05   1868.36914       54586.3438    
   5.03754600E-05   1808.95166       0.00000000    
   5.20301073E-05   1751.42395       0.00000000    
   5.37391024E-05   1695.72571       0.00000000    
   5.55042352E-05   1641.79858       47966.8789    
   5.73273428E-05   1589.58655       0.00000000    
   5.92103352E-05   1539.03491       44964.5547    
   6.11551732E-05   1490.09106       43534.5820    
   6.31638977E-05   1442.70349       0.00000000    
   6.52386007E-05   1396.82300       40809.6836    
   6.73814429E-05   1352.40161       0.00000000    
   6.95946801E-05   1309.39282       0.00000000    
   7.18806041E-05   1267.75195       0.00000000    
   7.42416159E-05   1227.43518       0.00000000    
   7.66801822E-05   1188.40063       0.00000000    
   7.91988423E-05   1150.60742       33616.2266    
   8.18002300E-05   1114.01611       0.00000000    
   8.44870665E-05   1078.58850       0.00000000    
   8.72621531E-05   1044.28748       0.00000000    
   9.01283929E-05   1011.07733       0.00000000    
   9.30887836E-05   978.923279       0.00000000    
   9.61464029E-05   947.791809       55381.4883    
   9.93044596E-05   917.650391       26810.1250    
   1.02566242E-04   888.467529       0.00000000    
   1.05935105E-04   860.213196       50264.9453    
   1.09414621E-04   832.857361       0.00000000    
   1.13008427E-04   806.371521       0.00000000    
   1.16720272E-04   780.727905       0.00000000    
   1.20554039E-04   755.899780       22084.5742    
   1.24513797E-04   731.860840       0.00000000    
   1.28603613E-04   708.586426       20702.0938    
   1.32827772E-04   686.052124       20043.7363    
   1.37190669E-04   664.234497       19406.3281    
   1.41696873E-04   643.110718       37578.6563    
   1.46351013E-04   622.658997       36383.8984    
   1.51158019E-04   602.857666       17613.4277    
   1.56122915E-04   583.686096       17053.2891    
   1.61250893E-04   565.124146       16510.8359    
   1.66547383E-04   547.152222       0.00000000    
   1.72017768E-04   529.752075       0.00000000    
   1.77667913E-04   512.905090       14985.0801    
   1.83503638E-04   496.593842       43525.9414    
   1.89530954E-04   480.801544       0.00000000    
   1.95756249E-04   465.511444       27201.0293    
   2.02186115E-04   450.707397       13167.8916    
   2.08827187E-04   436.374084       12749.1367    
   2.15686377E-04   422.496674       24687.6035    
   2.22770759E-04   409.060760       0.00000000    
   2.30087826E-04   396.052124       0.00000000    
   2.37645232E-04   383.457184       0.00000000    
   2.45450879E-04   371.262787       10846.9248    
   2.53513019E-04   359.455994       21003.9570    
   2.61839858E-04   348.024841       30503.9609    
   2.70440330E-04   336.957031       0.00000000    
   2.79323285E-04   326.241241       28594.7227    
   2.88497860E-04   315.866394       18457.0391    
   2.97973806E-04   305.821442       17869.9336    
   3.07761133E-04   296.095795       0.00000000    
   3.17869766E-04   286.679596       0.00000000    
   3.28310445E-04   277.562836       8109.42090    
   3.39094055E-04   268.735992       7851.47021    
   3.50232032E-04   260.189728       15203.5693    
   3.61735671E-04   251.915375       22080.1055    
   3.73617338E-04   243.904037       21377.9316    
   3.85889085E-04   236.147583       13798.8359    
   3.98563890E-04   228.637802       26720.0313    
   4.11655026E-04   221.366852       12935.1465    
   4.25176142E-04   214.327118       6261.84277    
   4.39141615E-04   207.511139       12125.3115    
   4.53565794E-04   200.911926       23479.4180    
   4.68463753E-04   194.522568       0.00000000    
   4.83851065E-04   188.336411       5502.44482    
   4.99743794E-04   182.346985       21309.8359    
   5.16158529E-04   176.548035       0.00000000    
   5.33112441E-04   170.933502       34958.0586    
   5.50623168E-04   165.497528       9670.46289    
   5.68708812E-04   160.234497       0.00000000    
   5.87388466E-04   155.138855       13597.8662    
   6.06681686E-04   150.205246       4388.47656    
   6.26608613E-04   145.428543       21244.4160    
   6.47190376E-04   140.803665       12341.2979    
   6.68447814E-04   136.325943       11948.9141    
   6.90403511E-04   131.990601       7712.55176    
   7.13080692E-04   127.793076       11200.9346    
   7.36502348E-04   123.729103       18074.6836    
   7.60693336E-04   119.794365       6999.88916    
   7.85679324E-04   115.984695       3388.61450    
   8.11485981E-04   112.296181       6561.70166    
   8.38140317E-04   108.724960       3176.51563    
   8.65670096E-04   105.267326       12302.1006    
   8.94103665E-04   101.919701       17866.4512    
   9.23471176E-04   98.6785278       8649.06445    
   9.53803770E-04   95.5403824       16748.0273    
   9.85132181E-04   92.5020752       16215.5449    
   1.01748959E-03   89.5604019       2616.62402    
   1.05091033E-03   86.7122269       22800.7070    
   1.08542829E-03   83.9546738       12264.3203    
   1.12108001E-03   81.2848053       11874.2021    
   1.15790335E-03   78.6998138       9197.18848    
   1.19593623E-03   76.1970215       8904.70898    
   1.23521825E-03   73.7738266       4310.80127    
   1.27578992E-03   71.4277267       12521.2285    
   1.31769420E-03   69.1562347       10102.4492    
   1.36097556E-03   66.9569550       13693.6416    
   1.40567787E-03   64.8276367       7576.09473    
   1.45184912E-03   62.7660103       11002.7539    
   1.49953621E-03   60.7699738       21305.8711    
   1.54878956E-03   58.8374138       20628.3203    
   1.59966073E-03   56.9663124       9986.15039    
   1.65220280E-03   55.1547165       12891.3301    
   1.70647155E-03   53.4006996       9361.02637    
   1.76252192E-03   51.7024918       7552.77686    
   1.82041421E-03   50.0582619       8775.10840    
   1.88020710E-03   48.4663506       14160.0693    
   1.94196496E-03   46.9250336       13709.6563    
   2.00575124E-03   45.4327393       7964.27002    
   2.07163161E-03   43.9879227       16707.2832    
   2.13967590E-03   42.5890541       12443.0547    
   2.20995513E-03   41.2346725       13252.0742    
   2.28254288E-03   39.9233589       18662.5859    
   2.35751597E-03   38.6537247       16939.6348    
   2.43495172E-03   37.4244690       7653.76514    
   2.51493091E-03   36.2343063       14820.7256    
   2.59753712E-03   35.0819893       10249.5801    
   2.68285652E-03   33.9663239       19847.4316    
   2.77097686E-03   32.8861542       12490.6582    
   2.86199176E-03   31.8403339       17674.8691    
   2.95599760E-03   30.8277569       12609.4229    
   3.05308960E-03   29.8473969       13952.4795    
   3.15337232E-03   28.8981972       9287.20898    
   3.25694890E-03   27.9791851       12261.6270    
   3.36392759E-03   27.0893974       15037.5938    
   3.47441831E-03   26.2279224       12260.6299    
   3.58853815E-03   25.3938427       10386.8877    
   3.70640634E-03   24.5862885       12929.8770    
   3.82814603E-03   23.8044147       11127.7227    
   3.95388436E-03   23.0474052       10100.3916    
   4.08375496E-03   22.3144569       7171.34863    
   4.21789102E-03   21.6048203       10099.4150    
   4.35643084E-03   20.9177608       9167.16797    
   4.49952111E-03   20.2525501       10650.6826    
   4.64731362E-03   19.6084843       8593.31055    
   4.79995832E-03   18.9849091       13866.7100    
   4.95761912E-03   18.3811569       11814.6543    
   5.12045575E-03   17.7966137       14558.7578    
   5.28864097E-03   17.2306595       12585.5068    
   5.46235032E-03   16.6827049       10722.9512    
   5.64176822E-03   16.1521664       9910.04297    
   5.82707627E-03   15.6385069       11422.5781    
   6.01847097E-03   15.1411839       13271.1904    
   6.21615211E-03   14.6596756       13705.7559    
   6.42032642E-03   14.1934795       12106.7490    
   6.59999996E-03   13.8070869       9794.01074    
   6.63121045E-03   13.7421026       13823.4531    
   6.84902119E-03   13.3050804       17289.1797    
   6.89999992E-03   13.2067795       14536.5469    
   7.07398634E-03   12.8819551       14343.0566    
   7.19999988E-03   12.6564970       11852.0176    
   7.30634062E-03   12.4722862       14412.3330    
   7.54632708E-03   12.0756464       14112.1094    
   7.79419579E-03   11.6916199       11002.1748    
   7.99999945E-03   11.3908472       11429.3281    
   8.05020239E-03   11.3198118       10326.9854    
   8.29999987E-03   10.9791298       1952.77026    
   8.31462163E-03   10.9598217       14356.6875    
   8.58772639E-03   10.6112804       13871.6865    
   8.60000029E-03   10.5961361       10373.0938    
   8.86980072E-03   10.2738247       12882.6191    
   9.16113611E-03   9.94710445       13368.5059    
   9.46204085E-03   9.63077354       13095.6826    
   9.69999935E-03   9.39451313       9968.38477    
   9.77283344E-03   9.32449913       13769.3135    
   9.99999978E-03   9.11267757       2144.76318    
   1.00938324E-02   9.02796555       17785.3613    
   1.03000002E-02   8.84725952       13497.6172    
   1.04253748E-02   8.74086285       13981.0469    
   1.07678073E-02   8.46289063       13846.2539    
   1.11214863E-02   8.19375896       10293.8232    
   1.14867836E-02   7.93318462       12284.2500    
   1.18640782E-02   7.68089819       15762.3496    
   1.19999992E-02   7.59389830       15017.0654    
   1.22537659E-02   7.43663406       2294.88599    
   1.22999996E-02   7.40868092       17398.8730    
   1.26000000E-02   7.23228359       13527.6064    
   1.26562538E-02   7.20013809       14952.0234    
   1.30719617E-02   6.97116280       10387.2471    
   1.35013238E-02   6.74946976       10056.9287    
   1.39447879E-02   6.53482676       10118.9502    
   1.44028189E-02   6.32700968       13309.3350    
   1.48758944E-02   6.12580156       13237.0879    
   1.52999992E-02   5.95599890       9158.63184    
   1.53645081E-02   5.93099213       12048.1494    
   1.55999996E-02   5.84146023       9890.50391    
   1.58691723E-02   5.74237728       14916.8027    
   1.58999991E-02   5.73124409       10566.6191    
   1.63904112E-02   5.55976152       12045.8418    
   1.69287696E-02   5.38295317       11008.9043    
   1.74848139E-02   5.21176672       12333.7568    
   1.80591196E-02   5.04602528       11204.4053    
   1.86522901E-02   4.88555431       11276.2910    
   1.92649439E-02   4.73018646       10641.3008    
   1.98977198E-02   4.57975960       10717.9082    
   2.01000012E-02   4.53366995       12336.1240    
   2.04000007E-02   4.46699858       1525.58740    
   2.05512810E-02   4.43411636       14916.8027    
   2.07000002E-02   4.40225983       9434.14746    
   2.12263092E-02   4.29310513       12098.0166    
   2.19235104E-02   4.15657759       11901.1143    
   2.26436090E-02   4.02439260       11640.2256    
   2.33873613E-02   3.89641118       11042.3594    
   2.41555441E-02   3.77249932       13005.7686    
   2.49489583E-02   3.65252829       10031.0703    
   2.57684309E-02   3.53637266       12501.6924    
   2.66148224E-02   3.42391062       11003.7354    
   2.74890140E-02   3.31502533       9916.60059    
   2.74999999E-02   3.31370091       11622.5723    
   2.77999993E-02   3.27794170       15490.5303    
   2.80999988E-02   3.24294591       9595.65625    
   2.83919182E-02   3.20960259       13212.9316    
   2.93244794E-02   3.10753250       12256.7324    
   3.02876718E-02   3.00870848       10372.5879    
   3.12825032E-02   2.91302705       13021.4912    
   3.23100090E-02   2.82038832       9393.76074    
   3.33712623E-02   2.73069596       9334.36133    
   3.44673768E-02   2.64385581       10041.6768    
   3.55994925E-02   2.55977726       11816.3789    
   3.67687941E-02   2.47837257       10137.2363    
   3.79765034E-02   2.39955664       10305.6113    
   3.92238796E-02   2.32324743       8788.12207    
   3.96999978E-02   2.29538488       13084.1797    
   3.99999991E-02   2.27816939       11761.2510    
   4.03000005E-02   2.26121020       9744.39551    
   4.05122302E-02   2.24936461       11043.8818    
   4.18428965E-02   2.17783141       12916.5254    
   4.32172678E-02   2.10857320       9795.15625    
   4.46367823E-02   2.04151750       10199.3809    
   4.61029261E-02   1.97659421       10337.0176    
   4.76172231E-02   1.91373563       9560.99609    
   4.91812602E-02   1.85287595       9744.14844    
   5.07966690E-02   1.79395175       11688.0234    
   5.24651371E-02   1.73690152       10301.4111    
   5.41884080E-02   1.68166542       11939.1006    
   5.59682809E-02   1.62818611       10227.4619    
   5.78066185E-02   1.57640731       9717.98047    
   5.97053356E-02   1.52627528       9542.71777    
   6.16664179E-02   1.47773743       9245.18945    
