  Optical depth from the centre to the edge of the nubula 
  direction: 1,0,0
  lambda [um]    tau(R_max) 
   9103.57422       1.28135987E-04
   8814.06836       0.00000000    
   8533.76465       0.00000000    
   8262.37695       0.00000000    
   7999.61816       0.00000000    
   7745.21631       0.00000000    
   7498.90527       0.00000000    
   7260.42725       0.00000000    
   7029.53271       0.00000000    
   6805.98145       0.00000000    
   6589.53955       0.00000000    
   6379.98047       0.00000000    
   6177.08594       0.00000000    
   5980.64404       0.00000000    
   5790.44922       0.00000000    
   5606.30273       0.00000000    
   5428.01270       0.00000000    
   5255.39209       0.00000000    
   5088.26172       0.00000000    
   4926.44629       0.00000000    
   4769.77637       0.00000000    
   4618.08936       0.00000000    
   4471.22607       0.00000000    
   4329.03320       0.00000000    
   4191.36230       0.00000000    
   4058.06982       0.00000000    
   3929.01636       0.00000000    
   3804.06665       0.00000000    
   3683.09082       0.00000000    
   3565.96216       0.00000000    
   3452.55835       0.00000000    
   3342.76099       0.00000000    
   3236.45532       0.00000000    
   3133.53052       0.00000000    
   3033.87866       0.00000000    
   2937.39624       0.00000000    
   2843.98193       0.00000000    
   2753.53833       0.00000000    
   2665.97095       0.00000000    
   2581.18823       0.00000000    
   2499.10205       0.00000000    
   2419.62646       0.00000000    
   2342.67798       0.00000000    
   2268.17676       0.00000000    
   2196.04492       0.00000000    
   2126.20679       0.00000000    
   2058.58984       0.00000000    
   1993.12305       0.00000000    
   1929.73816       0.00000000    
   1868.36914       0.00000000    
   1808.95166       0.00000000    
   1751.42395       0.00000000    
   1695.72571       0.00000000    
   1641.79858       0.00000000    
   1589.58655       0.00000000    
   1539.03491       0.00000000    
   1490.09106       0.00000000    
   1442.70349       0.00000000    
   1396.82300       0.00000000    
   1352.40161       0.00000000    
   1309.39282       0.00000000    
   1267.75195       0.00000000    
   1227.43518       0.00000000    
   1188.40063       0.00000000    
   1150.60742       0.00000000    
   1114.01611       0.00000000    
   1078.58850       0.00000000    
   1044.28748       0.00000000    
   1011.07733       0.00000000    
   978.923279       0.00000000    
   947.791809       0.00000000    
   917.650391       0.00000000    
   888.467529       0.00000000    
   860.213196       0.00000000    
   832.857361       0.00000000    
   806.371521       0.00000000    
   780.727905       0.00000000    
   755.899780       0.00000000    
   731.860840       0.00000000    
   708.586426       0.00000000    
   686.052124       0.00000000    
   664.234497       0.00000000    
   643.110718       0.00000000    
   622.658997       0.00000000    
   602.857666       0.00000000    
   583.686096       0.00000000    
   565.124146       0.00000000    
   547.152222       0.00000000    
   529.752075       0.00000000    
   512.905090       0.00000000    
   496.593842       0.00000000    
   480.801544       0.00000000    
   465.511444       0.00000000    
   450.707397       0.00000000    
   436.374084       0.00000000    
   422.496674       0.00000000    
   409.060760       0.00000000    
   396.052124       0.00000000    
   383.457184       0.00000000    
   371.262787       0.00000000    
   359.455994       0.00000000    
   348.024841       0.00000000    
   336.957031       0.00000000    
   326.241241       0.00000000    
   315.866394       0.00000000    
   305.821442       0.00000000    
   296.095795       0.00000000    
   286.679596       0.00000000    
   277.562836       0.00000000    
   268.735992       0.00000000    
   260.189728       0.00000000    
   251.915375       0.00000000    
   243.904037       0.00000000    
   236.147583       0.00000000    
   228.637802       0.00000000    
   221.366852       0.00000000    
   214.327118       0.00000000    
   207.511139       0.00000000    
   200.911926       0.00000000    
   194.522568       0.00000000    
   188.336411       0.00000000    
   182.346985       0.00000000    
   176.548035       0.00000000    
   170.933502       0.00000000    
   165.497528       0.00000000    
   160.234497       0.00000000    
   155.138855       0.00000000    
   150.205246       0.00000000    
   145.428543       0.00000000    
   140.803665       0.00000000    
   136.325943       0.00000000    
   131.990601       0.00000000    
   127.793076       0.00000000    
   123.729103       0.00000000    
   119.794365       0.00000000    
   115.984695       0.00000000    
   112.296181       0.00000000    
   108.724960       0.00000000    
   105.267326       0.00000000    
   101.919701       0.00000000    
   98.6785278       0.00000000    
   95.5403824       0.00000000    
   92.5020752       0.00000000    
   89.5604019       0.00000000    
   86.7122269       0.00000000    
   83.9546738       0.00000000    
   81.2848053       0.00000000    
   78.6998138       0.00000000    
   76.1970215       0.00000000    
   73.7738266       0.00000000    
   71.4277267       0.00000000    
   69.1562347       0.00000000    
   66.9569550       0.00000000    
   64.8276367       0.00000000    
   62.7660103       0.00000000    
   60.7699738       0.00000000    
   58.8374138       0.00000000    
   56.9663124       0.00000000    
   55.1547165       0.00000000    
   53.4006996       0.00000000    
   51.7024918       0.00000000    
   50.0582619       0.00000000    
   48.4663506       0.00000000    
   46.9250336       0.00000000    
   45.4327393       0.00000000    
   43.9879227       0.00000000    
   42.5890541       0.00000000    
   41.2346725       0.00000000    
   39.9233589       0.00000000    
   38.6537247       0.00000000    
   37.4244690       0.00000000    
   36.2343063       0.00000000    
   35.0819893       0.00000000    
   33.9663239       0.00000000    
   32.8861542       0.00000000    
   31.8403339       0.00000000    
   30.8277569       0.00000000    
   29.8473969       0.00000000    
   28.8981972       0.00000000    
   27.9791851       0.00000000    
   27.0893974       0.00000000    
   26.2279224       0.00000000    
   25.3938427       0.00000000    
   24.5862885       0.00000000    
   23.8044147       0.00000000    
   23.0474052       0.00000000    
   22.3144569       0.00000000    
   21.6048203       0.00000000    
   20.9177608       0.00000000    
   20.2525501       0.00000000    
   19.6084843       0.00000000    
   18.9849091       0.00000000    
   18.3811569       0.00000000    
   17.7966137       0.00000000    
   17.2306595       0.00000000    
   16.6827049       0.00000000    
   16.1521664       0.00000000    
   15.6385069       0.00000000    
