
 Mean ionic temperatures Te(ion)

 Total, integrated over all nebular components
 Element      Ion        Te(Element,ion)

           1           1   11695.7471    
           1           2   12904.1221    
           1           3   0.00000000    
           1           4   0.00000000    
           1           5   0.00000000    
           1           6   0.00000000    
           1           7   0.00000000    
           2           1   11627.9844    
           2           2   12186.9053    
           2           3   13862.7256    
           2           4   0.00000000    
           2           5   0.00000000    
           2           6   0.00000000    
           2           7   0.00000000    
           3           1   0.00000000    
           3           2   0.00000000    
           3           3   0.00000000    
           3           4   0.00000000    
           3           5   0.00000000    
           3           6   0.00000000    
           3           7   0.00000000    
           4           1   0.00000000    
           4           2   0.00000000    
           4           3   0.00000000    
           4           4   0.00000000    
           4           5   0.00000000    
           4           6   0.00000000    
           4           7   0.00000000    
           5           1   0.00000000    
           5           2   0.00000000    
           5           3   0.00000000    
           5           4   0.00000000    
           5           5   0.00000000    
           5           6   0.00000000    
           5           7   0.00000000    
           6           1   11494.3574    
           6           2   11922.3027    
           6           3   12644.2363    
           6           4   15061.4561    
           6           5   17154.9258    
           6           6   17235.7051    
           6           7   12839.9082    
           7           1   11364.7998    
           7           2   11863.7363    
           7           3   12910.6592    
           7           4   14822.1416    
           7           5   16191.6299    
           7           6   18315.2832    
           7           7   18610.1016    
           8           1   11462.8096    
           8           2   11940.5313    
           8           3   12950.8389    
           8           4   14948.8525    
           8           5   15932.0508    
           8           6   17383.7344    
           8           7   20496.4746    
           9           1   0.00000000    
           9           2   0.00000000    
           9           3   0.00000000    
           9           4   0.00000000    
           9           5   0.00000000    
           9           6   0.00000000    
           9           7   0.00000000    
          10           1   11413.1797    
          10           2   11862.9141    
          10           3   12444.7480    
          10           4   14773.9590    
          10           5   16125.5049    
          10           6   18059.0996    
          10           7   22388.2500    
          11           1   0.00000000    
          11           2   0.00000000    
          11           3   0.00000000    
          11           4   0.00000000    
          11           5   0.00000000    
          11           6   0.00000000    
          11           7   0.00000000    
          12           1   0.00000000    
          12           2   0.00000000    
          12           3   0.00000000    
          12           4   0.00000000    
          12           5   0.00000000    
          12           6   0.00000000    
          12           7   0.00000000    
          13           1   0.00000000    
          13           2   0.00000000    
          13           3   0.00000000    
          13           4   0.00000000    
          13           5   0.00000000    
          13           6   0.00000000    
          13           7   0.00000000    
          14           1   0.00000000    
          14           2   0.00000000    
          14           3   0.00000000    
          14           4   0.00000000    
          14           5   0.00000000    
          14           6   0.00000000    
          14           7   0.00000000    
          15           1   0.00000000    
          15           2   0.00000000    
          15           3   0.00000000    
          15           4   0.00000000    
          15           5   0.00000000    
          15           6   0.00000000    
          15           7   0.00000000    
          16           1   11435.7373    
          16           2   11772.3330    
          16           3   12362.2881    
          16           4   14173.5254    
          16           5   15500.8965    
          16           6   16257.4063    
